State,Division,Region
Alabama,East South Central,South
Alaska,Pacific,West
Arizona,Mountain,West
Arkansas,West South Central,South
California,Pacific,West
Colorado,Mountain,West
Connecticut,New England,Northeast
Delaware,South Atlantic,South
District of Columbia,South Atlantic,South
Florida,South Atlantic,South
Georgia,South Atlantic,South
Hawaii,Pacific,West
Idaho,Mountain,West
Illinois,East North Central,Midwest
Indiana,East North Central,Midwest
Iowa,West North Central,Midwest
Kansas,West North Central,Midwest
Kentucky,East South Central,South
Louisiana,West South Central,South
Maine,New England,Northeast
Maryland,South Atlantic,South
Massachusetts,New England,Northeast
Michigan,East North Central,Midwest
Minnesota,West North Central,Midwest
Mississippi,East South Central,South
Missouri,West North Central,Midwest
Montana,Mountain,West
Nebraska,West North Central,Midwest
Nevada,Mountain,West
New Hampshire,New England,Northeast
New Jersey,Middle Atlantic,Northeast
New Mexico,Mountain,West
New York,Middle Atlantic,Northeast
North Carolina,South Atlantic,South
North Dakota,West North Central,Midwest
Ohio,East North Central,Midwest
Oklahoma,West South Central,South
Oregon,Pacific,West
Pennsylvania,Middle Atlantic,Northeast
Rhode Island,New England,Northeast
South Carolina,South Atlantic,South
South Dakota,West North Central,Midwest
Tennessee,East South Central,South
Texas,West South Central,South
Utah,Mountain,West
Vermont,New England,Northeast
Virginia,South Atlantic,South
Washington,Pacific,West
West Virginia,South Atlantic,South
Wisconsin,East North Central,Midwest
Wyoming,Mountain,West
