SawShadow,ColorReported
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,Blue-Black
Yes,Blue-Black
Yes,White-Gold
Yes,Blue-Black
Yes,White-Gold
Yes,Blue-Black
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,Blue-Black
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,White-Gold
Yes,Blue-Black
Yes,Blue-Black
Yes,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,White-Gold
No,White-Gold
No,White-Gold
No,White-Gold
No,Blue-Black
No,White-Gold
No,White-Gold
No,Blue-Black
No,Blue-Black
No,White-Gold
No,White-Gold
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,White-Gold
No,White-Gold
No,White-Gold
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,White-Gold
No,White-Gold
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,White-Gold
No,White-Gold
No,White-Gold
No,White-Gold
No,Blue-Black
No,White-Gold
No,Blue-Black
No,Blue-Black
No,White-Gold
No,White-Gold
No,White-Gold
No,White-Gold
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,White-Gold
No,Blue-Black
No,White-Gold
No,White-Gold
No,White-Gold
No,White-Gold
No,Blue-Black
No,Blue-Black
No,Blue-Black
No,White-Gold
No,White-Gold
No,White-Gold
